
2613899264 bytes (2.6 GB, 2.4 GiB) copied, 251 s, 10.4 MB/s
2624866816 bytes (2.6 GB, 2.4 GiB) copied, 252 s, 10.4 MB/s
2635776512 bytes (2.6 GB, 2.5 GiB) copied, 253 s, 10.4 MB/s
2646726656 bytes (2.6 GB, 2.5 GiB) copied, 254 s, 10.4 MB/s
2657403392 bytes (2.7 GB, 2.5 GiB) copied, 255 s, 10.4 MB/s
2667872768 bytes (2.7 GB, 2.5 GiB) copied, 256 s, 10.4 MB/s
2678552064 bytes (2.7 GB, 2.5 GiB) copied, 257 s, 10.4 MB/s
2689013248 bytes (2.7 GB, 2.5 GiB) copied, 258 s, 10.4 MB/s
2698376704 bytes (2.7 GB, 2.5 GiB) copied, 259 s, 10.4 MB/s
2708275712 bytes (2.7 GB, 2.5 GiB) copied, 260 s, 10.4 MB/s
2719009792 bytes (2.7 GB, 2.5 GiB) copied, 261 s, 10.4 MB/s
2729971712 bytes (2.7 GB, 2.5 GiB) copied, 262 s, 10.4 MB/s
2740730368 bytes (2.7 GB, 2.6 GiB) copied, 263 s, 10.4 MB/s
2751320064 bytes (2.8 GB, 2.6 GiB) copied, 264 s, 10.4 MB/s
2761114112 bytes (2.8 GB, 2.6 GiB) copied, 265 s, 10.4 MB/s
2771743232 bytes (2.8 GB, 2.6 GiB) copied, 266 s, 10.4 MB/s
2782174720 bytes (2.8 GB, 2.6 GiB) copied, 267 s, 10.4 MB/s
2792973824 bytes (2.8 GB, 2.6 GiB) copied, 268 s, 10.4 MB/s
2802692096 bytes (2.8 GB, 2.6 GiB) copied, 269 s, 10.4 MB/s
2813611008 bytes (2.8 GB, 2.6 GiB) copied, 270 s, 10.4 MB/s
2824168448 bytes (2.8 GB, 2.6 GiB) copied, 271 s, 10.4 MB/s
2834818048 bytes (2.8 GB, 2.6 GiB) copied, 272 s, 10.4 MB/s
2845347328 bytes (2.8 GB, 2.6 GiB) copied, 273 s, 10.4 MB/s
2855155200 bytes (2.9 GB, 2.7 GiB) copied, 274 s, 10.4 MB/s
2866053632 bytes (2.9 GB, 2.7 GiB) copied, 275 s, 10.4 MB/s
2876665856 bytes (2.9 GB, 2.7 GiB) copied, 276 s, 10.4 MB/s
2887177728 bytes (2.9 GB, 2.7 GiB) copied, 277 s, 10.4 MB/s
2898002432 bytes (2.9 GB, 2.7 GiB) copied, 278 s, 10.4 MB/s
2907671552 bytes (2.9 GB, 2.7 GiB) copied, 279 s, 10.4 MB/s
2917578240 bytes (2.9 GB, 2.7 GiB) copied, 280 s, 10.4 MB/s
2928476672 bytes (2.9 GB, 2.7 GiB) copied, 281 s, 10.4 MB/s
2939133440 bytes (2.9 GB, 2.7 GiB) copied, 282 s, 10.4 MB/s
2950018560 bytes (3.0 GB, 2.7 GiB) copied, 283 s, 10.4 MB/s
2961162752 bytes (3.0 GB, 2.8 GiB) copied, 284 s, 10.4 MB/s
2971369984 bytes (3.0 GB, 2.8 GiB) copied, 285 s, 10.4 MB/s
2981560832 bytes (3.0 GB, 2.8 GiB) copied, 286 s, 10.4 MB/s
2992655360 bytes (3.0 GB, 2.8 GiB) copied, 287 s, 10.4 MB/s
3002696192 bytes (3.0 GB, 2.8 GiB) copied, 288 s, 10.4 MB/s
3011543552 bytes (3.0 GB, 2.8 GiB) copied, 289 s, 10.4 MB/s
3021993984 bytes (3.0 GB, 2.8 GiB) copied, 290 s, 10.4 MB/s
3032780800 bytes (3.0 GB, 2.8 GiB) copied, 291 s, 10.4 MB/s
3043162624 bytes (3.0 GB, 2.8 GiB) copied, 292 s, 10.4 MB/s
3053449216 bytes (3.1 GB, 2.8 GiB) copied, 293 s, 10.4 MB/s
3063153152 bytes (3.1 GB, 2.9 GiB) copied, 294 s, 10.4 MB/s
3073446912 bytes (3.1 GB, 2.9 GiB) copied, 295 s, 10.4 MB/s
3083909632 bytes (3.1 GB, 2.9 GiB) copied, 296 s, 10.4 MB/s
3094556672 bytes (3.1 GB, 2.9 GiB) copied, 297 s, 10.4 MB/s
3105656320 bytes (3.1 GB, 2.9 GiB) copied, 298 s, 10.4 MB/s
3114961408 bytes (3.1 GB, 2.9 GiB) copied, 299 s, 10.4 MB/s
3125821952 bytes (3.1 GB, 2.9 GiB) copied, 300 s, 10.4 MB/s
3136536064 bytes (3.1 GB, 2.9 GiB) copied, 301 s, 10.4 MB/s
3147235840 bytes (3.1 GB, 2.9 GiB) copied, 302 s, 10.4 MB/s
3157022720 bytes (3.2 GB, 2.9 GiB) copied, 303 s, 10.4 MB/s
3167601152 bytes (3.2 GB, 3.0 GiB) copied, 304 s, 10.4 MB/s
3178390016 bytes (3.2 GB, 3.0 GiB) copied, 305 s, 10.4 MB/s
3188599808 bytes (3.2 GB, 3.0 GiB) copied, 306 s, 10.4 MB/s
3199304192 bytes (3.2 GB, 3.0 GiB) copied, 307 s, 10.4 MB/s
3209134592 bytes (3.2 GB, 3.0 GiB) copied, 308 s, 10.4 MB/s
3219281408 bytes (3.2 GB, 3.0 GiB) copied, 309 s, 10.4 MB/s
